customer_id,name,gender,birth_date,signup_date,city,email
3293,권준서,여,1954-04-29,2020-04-26, 부산,user3293@example.com
1862,박준선,F,1980-05-19,2023-09-01,서울,user1862@example.com
4955,전영경,여,1980-06-08,2024-04-30,인천,user4955@example.com
4653,한재하,M,1971-06-09,2023-08-06,서울,user4653@example.com
3331,송준연,여,1971-02-01,2023-12-20,대전,user3331@example.com
1992,최현우,여,1999-08-31,2021-06-22,고양,user1992@example.com
3499,전선태,남,2005-03-12,2021-07-02, 광주,
2183,장예성,M,1992-03-22,2021-02-19,수원,user2183@example.com
5090,권재현,M,1972-08-26,2020-10-02,서울,
2209,홍준영,M,1976-06-16,2024-03-10,수원,user2209@example.com
5055,윤수현,F,1972-03-11,2021-05-20,서울,user5055@example.com
5882,임하우,여,1995-11-08,2020-04-29, 수원,user5882@example.com
3558,김수도,여,1954-05-15,2023-07-10,광주,user3558@example.com
4018,오민서,F,1964-04-27,2023-02-20,울산,user4018@example.com
5539,송서현,M,1984-08-31,2022-10-17,대구,user5539@example.com
5434,오예영,여,1978-05-20,2022-05-14, 서울,user5434@example.com
3699,박재태,M,1976-01-27,2020-06-08,서울,user3699@example.com
1307,오준수,남,1986-10-25,2023-01-07,서울,user1307@example.com
1480,강태재,M,2002-09-14,2022-12-14,부산,user1480@example.com
3333,안민하,M,1968-07-21,2020-03-06,서울,user3333@example.com
1438,이도아,남,1957-07-20,2022-08-12,대전,user1438@example.com
3913,정진태,M,1964-06-05,2020-07-24,고양,user3913@example.com
3506,임진도,F,1973-09-06,2021-10-24,인천,user3506@example.com
4392,황우민,F,1983-03-27,2022-02-15,서울,user4392@example.com
4153,황영은,M,,2020-07-03,대구,user4153@example.com
4192,신예태,F,1990-07-23,2022-06-02,울산,user4192@example.com
3208,정현준,M,2006-09-22,2021-03-02,서울,user3208@example.com
1759,권연은,남,1997-09-25,2021-03-09,수원 ,user1759@example.com
5231,전우선,M,1969-09-09,2021-07-24,고양,user5231@example.com
1860,홍영우,남,1956-01-27,2024-04-02,광주,user1860@example.com
4930,권도선,M,,2023-05-05,고양,user4930@example.com
2879,박준서,M,1977-12-24,2020-09-12,서울 ,user2879@example.com
2595,최수태,M,1972-10-08,2020-02-20,광주 ,user2595@example.com
